id,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
137871,https://inaturalist-open-data.s3.amazonaws.com/photos/191581/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
137876,https://inaturalist-open-data.s3.amazonaws.com/photos/191586/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
139072,https://inaturalist-open-data.s3.amazonaws.com/photos/192886/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
431593,https://static.inaturalist.org/photos/543912/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
435032,https://inaturalist-open-data.s3.amazonaws.com/photos/548052/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
576562,https://inaturalist-open-data.s3.amazonaws.com/photos/733153/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
632408,https://static.inaturalist.org/photos/795958/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
679806,https://inaturalist-open-data.s3.amazonaws.com/photos/856194/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1044079,https://inaturalist-open-data.s3.amazonaws.com/photos/1309783/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1070843,https://static.inaturalist.org/photos/1342334/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1163502,https://static.inaturalist.org/photos/1466443/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1164539,https://inaturalist-open-data.s3.amazonaws.com/photos/1468054/medium.jpg,Tecolote llanero,Athene cunicularia,Кроличий сыч,Aves,19975
1261416,https://static.inaturalist.org/photos/1583505/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1485074,https://inaturalist-open-data.s3.amazonaws.com/photos/1840570/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1543533,https://inaturalist-open-data.s3.amazonaws.com/photos/1912033/medium.JPG,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1605376,https://inaturalist-open-data.s3.amazonaws.com/photos/1973972/medium.jpg,Coruja-Buraqueira,Athene cunicularia,Кроличий сыч,Aves,19975
1748527,https://static.inaturalist.org/photos/2121833/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
1854325,https://static.inaturalist.org/photos/2254435/medium.jpg,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
2540141,https://inaturalist-open-data.s3.amazonaws.com/photos/2837184/medium.jpg,Tecolote llanero,Athene cunicularia,Кроличий сыч,Aves,19975
2702861,https://inaturalist-open-data.s3.amazonaws.com/photos/3043963/medium.JPG,Burrowing Owl,Athene cunicularia,Кроличий сыч,Aves,19975
