id,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22405,https://inaturalist-open-data.s3.amazonaws.com/photos/40275/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
133025,https://inaturalist-open-data.s3.amazonaws.com/photos/185826/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
242292,https://inaturalist-open-data.s3.amazonaws.com/photos/303043/medium.JPG,Bioko Barn Owl,Tyto alba poensis,,Aves,482925
387250,https://inaturalist-open-data.s3.amazonaws.com/photos/484366/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
400409,https://inaturalist-open-data.s3.amazonaws.com/photos/501181/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
446405,https://inaturalist-open-data.s3.amazonaws.com/photos/561893/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
486080,https://inaturalist-open-data.s3.amazonaws.com/photos/614433/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
509033,https://inaturalist-open-data.s3.amazonaws.com/photos/648232/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
675213,https://inaturalist-open-data.s3.amazonaws.com/photos/850419/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
766912,https://inaturalist-open-data.s3.amazonaws.com/photos/963894/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
880465,https://inaturalist-open-data.s3.amazonaws.com/photos/1118024/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1056382,https://inaturalist-open-data.s3.amazonaws.com/photos/1324827/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1100363,https://static.inaturalist.org/photos/1383013/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1333466,https://inaturalist-open-data.s3.amazonaws.com/photos/1650154/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1606825,https://inaturalist-open-data.s3.amazonaws.com/photos/1975996/medium.jpg,North American Barn Owl,Tyto alba pratincola,,Aves,465850
1697685,https://inaturalist-open-data.s3.amazonaws.com/photos/2055657/medium.jpg,Effraie des Clochers,Tyto alba,Обыкновенная сипуха,Aves,20445
1733237,https://inaturalist-open-data.s3.amazonaws.com/photos/2100449/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1755208,https://inaturalist-open-data.s3.amazonaws.com/photos/2131063/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1809658,https://inaturalist-open-data.s3.amazonaws.com/photos/2193940/medium.jpg,North American Barn Owl,Tyto alba pratincola,,Aves,465850
1847215,https://inaturalist-open-data.s3.amazonaws.com/photos/2245043/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1877550,https://inaturalist-open-data.s3.amazonaws.com/photos/2287740/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1965544,https://inaturalist-open-data.s3.amazonaws.com/photos/2408243/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
1974071,https://inaturalist-open-data.s3.amazonaws.com/photos/2418700/medium.jpg,Effraie des Clochers,Tyto alba,Обыкновенная сипуха,Aves,20445
2520618,https://static.inaturalist.org/photos/2827859/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
2546705,https://inaturalist-open-data.s3.amazonaws.com/photos/2841022/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
2574311,https://static.inaturalist.org/photos/2872671/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
2922817,https://inaturalist-open-data.s3.amazonaws.com/photos/3347005/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3031390,https://inaturalist-open-data.s3.amazonaws.com/photos/3489639/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3057610,https://inaturalist-open-data.s3.amazonaws.com/photos/3521884/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3302824,https://static.inaturalist.org/photos/3817368/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3454599,https://static.inaturalist.org/photos/4009049/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3517817,https://inaturalist-open-data.s3.amazonaws.com/photos/4097437/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3665419,https://inaturalist-open-data.s3.amazonaws.com/photos/4245169/medium.jpg,Bioko Barn Owl,Tyto alba poensis,,Aves,482925
3678122,https://inaturalist-open-data.s3.amazonaws.com/photos/4262459/medium.JPG,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3751568,https://inaturalist-open-data.s3.amazonaws.com/photos/4366051/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3825272,https://inaturalist-open-data.s3.amazonaws.com/photos/4473125/medium.jpg,Bioko Barn Owl,Tyto alba poensis,,Aves,482925
3897339,https://inaturalist-open-data.s3.amazonaws.com/photos/4578627/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
3950947,https://inaturalist-open-data.s3.amazonaws.com/photos/4655346/medium.jpg,Bioko Barn Owl,Tyto alba poensis,,Aves,482925
3950949,https://inaturalist-open-data.s3.amazonaws.com/photos/4655351/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
4043353,https://static.inaturalist.org/photos/4784702/medium.jpeg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
4364187,https://inaturalist-open-data.s3.amazonaws.com/photos/5228147/medium.jpeg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
4450749,https://static.inaturalist.org/photos/5361532/medium.jpg,North American Barn Owl,Tyto alba pratincola,,Aves,465850
4453684,https://static.inaturalist.org/photos/5366099/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
4684291,https://inaturalist-open-data.s3.amazonaws.com/photos/5686881/medium.jpeg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
4768956,https://static.inaturalist.org/photos/5806470/medium.jpg,Galápagos Barn Owl,Tyto alba punctatissima,,Aves,482918
4852094,https://inaturalist-open-data.s3.amazonaws.com/photos/5890296/medium.jpg,Ernest’s Barn Owl,Tyto alba ernesti,,Aves,482921
4909607,https://inaturalist-open-data.s3.amazonaws.com/photos/5976327/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
5373833,https://static.inaturalist.org/photos/6595311/medium.jpg,Bioko Barn Owl,Tyto alba poensis,,Aves,482925
5469354,https://inaturalist-open-data.s3.amazonaws.com/photos/6735606/medium.jpg,Barn Owl,Tyto alba,Обыкновенная сипуха,Aves,20445
